,Date,Open,High,Low,Close,Volume
173,8-Mar-17,138.95,139.8,138.82,139.0,18707236
174,7-Mar-17,139.06,139.98,138.79,139.52,17446297
175,6-Mar-17,139.36,139.77,138.6,139.34,21750044
176,3-Mar-17,138.78,139.83,138.59,139.78,21571121
177,2-Mar-17,140.0,140.28,138.76,138.96,26210984
178,1-Mar-17,137.89,140.15,137.6,139.79,36414585
179,28-Feb-17,137.08,137.44,136.7,136.99,23482860
180,27-Feb-17,137.14,137.44,136.28,136.93,20257426
181,24-Feb-17,135.91,136.66,135.28,136.66,21776585
182,23-Feb-17,137.38,137.48,136.3,136.53,20788186
183,22-Feb-17,136.43,137.12,136.11,137.11,20836932
184,21-Feb-17,136.23,136.75,135.98,136.7,24507156
185,17-Feb-17,135.1,135.83,135.1,135.72,22198197
186,16-Feb-17,135.67,135.9,134.84,135.34,22584555
187,15-Feb-17,135.52,136.27,134.62,135.51,35623100
188,14-Feb-17,133.47,135.09,133.25,135.02,33226223
189,13-Feb-17,133.08,133.82,132.75,133.29,23035421
190,10-Feb-17,132.46,132.94,132.05,132.12,20065458
191,9-Feb-17,131.65,132.44,131.12,132.42,28349859
192,8-Feb-17,131.35,132.22,131.22,132.04,23004072
193,7-Feb-17,130.54,132.09,130.45,131.53,38183841
194,6-Feb-17,129.13,130.5,128.9,130.29,26845924
195,3-Feb-17,128.31,129.19,128.16,129.08,24507301
196,2-Feb-17,127.98,129.39,127.78,128.53,33710411
197,1-Feb-17,127.03,130.49,127.01,128.75,111985040
198,31-Jan-17,121.15,121.39,120.62,121.35,49200993
199,30-Jan-17,120.93,121.63,120.66,121.63,30377503
200,27-Jan-17,122.14,122.35,121.6,121.95,20562944
201,26-Jan-17,121.67,122.44,121.6,121.94,26337576
202,25-Jan-17,120.42,122.1,120.28,121.88,32586673
203,24-Jan-17,119.55,120.1,119.5,119.97,23211038
204,23-Jan-17,120.0,120.81,119.77,120.08,22050218
205,20-Jan-17,120.45,120.45,119.73,120.0,32597892
206,19-Jan-17,119.4,120.09,119.37,119.78,25597291
207,18-Jan-17,120.0,120.5,119.71,119.99,23712961
208,17-Jan-17,118.34,120.24,118.22,120.0,34439843
209,13-Jan-17,119.11,119.62,118.81,119.04,26111948
210,12-Jan-17,118.9,119.3,118.21,119.25,27086220
211,11-Jan-17,118.74,119.93,118.6,119.75,27588593
212,10-Jan-17,118.77,119.38,118.3,119.11,24462051
213,9-Jan-17,117.95,119.43,117.94,118.99,33561948
214,6-Jan-17,116.78,118.16,116.47,117.91,31751900
215,5-Jan-17,115.92,116.86,115.81,116.61,22193587
216,4-Jan-17,115.85,116.51,115.75,116.02,21118116
217,3-Jan-17,115.8,116.33,114.76,116.15,28781865
218,30-Dec-16,116.65,117.2,115.43,115.82,30586265
219,29-Dec-16,116.45,117.11,116.4,116.73,15039519
220,28-Dec-16,117.52,118.02,116.2,116.76,20905892
221,27-Dec-16,116.52,117.8,116.49,117.26,18296855
222,23-Dec-16,115.59,116.52,115.59,116.52,14249484
223,22-Dec-16,116.35,116.51,115.64,116.29,26085854
224,21-Dec-16,116.8,117.4,116.78,117.06,23783165
225,20-Dec-16,116.74,117.5,116.68,116.95,21424965
226,19-Dec-16,115.8,117.38,115.75,116.64,27779423
227,16-Dec-16,116.47,116.5,115.64,115.97,44351134
228,15-Dec-16,115.38,116.73,115.23,115.82,46524544
229,14-Dec-16,115.04,116.2,114.98,115.19,34031834
230,13-Dec-16,113.84,115.92,113.75,115.19,43733811
231,12-Dec-16,113.29,115.0,112.49,113.3,26374377
232,9-Dec-16,112.31,114.7,112.31,113.95,34402627
233,8-Dec-16,110.86,112.43,110.6,112.12,27068316
234,7-Dec-16,109.26,111.19,109.16,111.03,29998719
235,6-Dec-16,109.5,110.36,109.19,109.95,26195462
236,5-Dec-16,110.0,110.03,108.25,109.11,34324540
237,2-Dec-16,109.17,110.09,108.85,109.9,26527997
238,1-Dec-16,110.36,110.94,109.03,109.49,37086862
239,30-Nov-16,111.6,112.2,110.27,110.52,36162258
240,29-Nov-16,110.78,112.03,110.07,111.46,28528750
241,28-Nov-16,111.43,112.46,111.39,111.57,27193983
242,25-Nov-16,111.47,111.87,110.95,111.79,11475922
243,23-Nov-16,111.36,111.51,110.33,111.23,27426394
244,22-Nov-16,111.95,112.42,111.4,111.8,25965534
245,21-Nov-16,110.12,111.99,110.01,111.73,29264571
246,18-Nov-16,109.72,110.54,109.66,110.06,28428917
247,17-Nov-16,109.81,110.35,108.83,109.95,26964598
248,16-Nov-16,106.7,110.23,106.6,109.99,58840522
249,15-Nov-16,106.57,107.68,106.16,107.11,32264510
250,14-Nov-16,107.71,107.81,104.08,105.71,51175504
